DATE,GENRE,TRACK,ARTIST,CALORIES,EMBED
2022-01-01,Rap,Hurricane,Kanye West,282,6Hfu9sc7jvv6coyy2LlzBF?utm_source=generator&theme=0
2022-01-02,Rap,Knife Talk,"Drake, 21 Savage, Project Pat",620,2BcMwX1MPV6ZHP4tUT9uq6?utm_source=generator&theme=0
2022-01-03,Indie Pop,don't miss me,Claire Rosinkranz,513,5MG69A9XyXDbBbeOxdR3Tl?utm_source=generator&theme=0
2022-01-04,Indie Pop,don't miss me,Claire Rosinkranz,405,5MG69A9XyXDbBbeOxdR3Tl?utm_source=generator&theme=0
2022-01-05,Alternate Indie,Bad Day,Justus Bennetts,655,3wA4ronkc8ZcPXUP0fDgYA?utm_source=generator&theme=0
2022-01-06,Alternate Indie,Bad Day,Justus Bennetts,652,3wA4ronkc8ZcPXUP0fDgYA?utm_source=generator&theme=0
2022-01-07,Pop,How it Ends,FINNEAS,218,7LSuLsMi4YM3Tk8xwkiKUj?utm_source=generator&theme=0
2022-01-08,-,-,-,0,
2022-01-09,Country,Real,Kameron Ross,642,5QjD1xxppqWPrDlOO86V2m?utm_source=generator&theme=0
2022-01-10,Classical,Je te laisserai des mots,Patrick Watson,983,0V5cvmTKsYmF5FmGGEAfmS?utm_source=generator&theme=0
2022-01-11,Classical,Je te laisserai des mots,Patrick Watson,392,0V5cvmTKsYmF5FmGGEAfmS?utm_source=generator&theme=0
2022-01-12,R&B,Lost,Frank Ocean,890,3GZD6HmiNUhxXYf8Gch723?utm_source=generator&theme=0
2022-01-13,R&B,Lost,Frank Ocean,619,3GZD6HmiNUhxXYf8Gch723?utm_source=generator&theme=0
2022-01-14,Indie,god of the sunsets,SEB,329,5gOyjqIifZ9NqVcaIIlqv7?utm_source=generator&theme=0
2022-01-15,-,-,-,0,
2022-01-16,Alternate Pop,KIDS ON MOLLY,Aries,474,7pkpdj7AWQjujxxe38WF8f?utm_source=generator&theme=0
2022-01-17,Alternate Pop,SMILE,Arden Jones,459,6eshn81GQPqBfv7TEOyoTI?utm_source=generator&theme=0
2022-01-18,Indie Pop,Frakenstein,Claire Rosinkranz,450,1xSmjB0t19q4CSJ0X0ymGB?utm_source=generator&theme=0
2022-01-19,-,-,-,0,
2022-01-20,Pop,GO TO HELL,Clinton Kane,651,55XRXhQeU25IwqVpjQqxkz?utm_source=generator&theme=0
2022-01-21,Rock Pop,Shut Off The Lights,Bastille,295,6Au9UDzjeGFen7qMEDKju7?utm_source=generator&theme=0
2022-01-22,Indie Pop,I'm Trynna Tell U That I Love U,Artemas,629,390UBG1Vygnjgiw1Dg02AT?utm_source=generator&theme=0
2022-01-23,Pop,I Feel Good,Pink Sweat$,493,3lUQpvfWFcxZC3RYAVGE7F?utm_source=generator&theme=0
2022-01-24,Pop,I Feel Good,Pink Sweat$,758,3lUQpvfWFcxZC3RYAVGE7F?utm_source=generator&theme=0
2022-01-25,Rock Pop,Shut Off The Lights,Bastille,372,6Au9UDzjeGFen7qMEDKju7?utm_source=generator&theme=0
2022-01-26,Rap,Ginseng Strip 2002,Yung Lean,340,79nEEoEPY2w8EXj9hjn5oc?utm_source=generator&theme=0
2022-01-27,Country,Twang,Mason Ramsey,471,6fLQhfYnGuBTbQDdqMZFRL?utm_source=generator&theme=0
2022-01-28,-,-,-,0,
2022-01-29,Country,Twang,Mason Ramsey,489,6fLQhfYnGuBTbQDdqMZFRL?utm_source=generator&theme=0
2022-01-30,Country,Heartbreak Medication,Jon Pardi,372,5qdQPrWmZv8xYhMJCDrdHF?utm_source=generator&theme=0
2022-01-31,Country,Heartbreak Medication,Jon Pardi,563,5qdQPrWmZv8xYhMJCDrdHF?utm_source=generator&theme=0
2022-02-01,Pop,Better Days,"NEIKED, Mae Muller, Polo G",619,6f5ExP43esnvdKPddwKXJH?utm_source=generator&theme=0
2022-02-02,-,-,-,0,
2022-02-03,Pop,Raincoat,"Kieron Lee, Chloe Ho",712,7b4ajXYisnMOOnl5J8U2lo?utm_source=generator&theme=0
2022-02-04,Electronic,Distorted Light Beam,Bastille,436,7bREivF1RTm0vOYB2wi7nE?utm_source=generator&theme=0
2022-02-05,-,-,-,0,
2022-02-06,Rap,Don't Play That,"King Von, 21 Savage",532,6BczFLHW9aIf9aWn5NFuNL?utm_source=generator&theme=0
2022-02-07,Alternate Indie,its alright :),Kevin Walkman,560,0ITjrJTxJWUVqthwUIOKPZ?utm_source=generator&theme=0
2022-02-08,Alternate Indie,its alright :),Kevin Walkman,493,0ITjrJTxJWUVqthwUIOKPZ?utm_source=generator&theme=0
2022-02-09,-,-,-,0,
2022-02-10,R&B Rap,Peru,"Fireboy DML, 21 Savage, Blxst",421,7voSun33hCNkIrjxaj3g47?utm_source=generator&theme=0
2022-02-11,R&B Rap,Peru,"Fireboy DML, 21 Savage, Blxst",531,7voSun33hCNkIrjxaj3g47?utm_source=generator&theme=0
2022-02-12,-,-,-,0,
2022-02-13,-,-,-,0,
2022-02-14,Alternate R&B,Dark Red,Steve Lacy,621,37y7iDayfwm3WXn5BiAoRk?utm_source=generator&theme=0
2022-02-15,Alternate Indie,Vices,Sarah and the Sundays,399,7h5FrUYL5RE27ebrLfGU4b?utm_source=generator&theme=0
2022-02-16,Alternate Indie,Vices,Sarah and the Sundays,216,7h5FrUYL5RE27ebrLfGU4b?utm_source=generator&theme=0
2022-02-17,Rap,Bag,"Abhi The Nomad, Charlie Curtis-Beard",365,3A4yu3wHxrnAzyD9aUyjhp?utm_source=generator&theme=0
2022-02-18,Electronic,California Dreamin',"Chris Lorenzo, High Jinx",654,4ASOMWcJUrwEpjJy4GEijz?utm_source=generator&theme=0
2022-02-19,-,-,-,0,
2022-02-20,-,-,-,0,
2022-02-21,Electronic,Friday (Dopamine Re-Edit),"Riton, Nightcrawlers, Mufasa & Hypeman",605,4cG7HUWYHBV6R6tHn1gxrl?utm_source=generator&theme=0
2022-02-22,Pop,Wave of You,Surfaces,261,5Ne1q9Hv3l2NHBA3Agt8WT?utm_source=generator&theme=0
2022-02-23,-,-,-,0,
2022-02-24,-,-,-,0,
2022-02-25,Pop Rap,LAst dAy oN EaRTh,Tai Verdes,204,0fVDu1evgjX9CFD0cmuRrM?utm_source=generator&theme=0
2022-02-26,-,-,-,0,
2022-02-27,Pop,AWOOO!,Rence,131,33C1sEVNSwk1P5nTzQ2Wky?utm_source=generator&theme=0
2022-02-28,-,-,-,0,
